PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
87,Dikembe,Mutombo,Denver Nuggets,NBA Rookie of the Month,,1991-92,01/01/1992,,,Award,Kia Motors,KIRMO,
87,Dikembe,Mutombo,Denver Nuggets,NBA Rookie of the Month,,1991-92,11/01/1991,,,Award,Kia Motors,KIRMO,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,3,2000-01,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,2,2001-02,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,2,2002-03,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,3,2003-04,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,1,2004-05,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,1,2005-06,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,1,2006-07,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,2,2007-08,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,1,2008-09,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,2,2009-10,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,2,2010-11,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,Dallas Mavericks,All-NBA,3,2011-12,,,1610612742,Award,Kia Motors,KIANT,
1717,Dirk,Nowitzki,,NBA All-Star,,2001-02,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2002-03,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2003-04,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2004-05,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2005-06,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2006-07,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2007-08,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2008-09,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2009-10,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2010-11,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2011-12,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2013-14,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2014-15,,,,Award,All-Star,,
1717,Dirk,Nowitzki,,NBA All-Star,,2018-19,,,,Award,All-Star,,
1717,Dirk,Nowitzki,Dallas Mavericks,NBA Champion,,2010-11,,,,Award,Champion,,
1717,Dirk,Nowitzki,Dallas Mavericks,NBA Finals Most Valuable Player,,2010-11,,,,Award,Kia Motors,KFMVP,
1717,Dirk,Nowitzki,Dallas Mavericks,NBA Most Valuable Player,,2006-07,,,,Award,Kia Motors,KIMVP,
1717,Dirk,Nowitzki,Dallas Mavericks,NBA Player of the Month,,2002-03,11/01/2002,,West,Award,Kia Motors,KIPMO,
