PLAYER_NAME,PTS,AST,REB,TOV,STL,BLK,FG3A,FGA,FTA,FG3_PCT
Robert Covington,12.7,2.4,9.7,1.1,3.9,1.8,5.6,9.8,2.6,0.339
Robert Williams III,16.3,2,15.1,2.8,2.8,2.8,0,10.3,3.6,0
Robin Lopez,12.6,2.8,3.5,1.4,0.7,2.1,5.6,13.3,1.4,0.25
Ron Harper Jr.,0,12.5,0,0,0,0,0,0,0,0
Royce O'Neale,14.9,5.4,9.2,1.8,1.4,1.1,10.3,13.2,0.9,0.37
Rudy Gobert,20.2,1.9,18.7,2.2,1,3.1,0.1,11.7,7.4,0
Rui Hachimura,23.7,2.1,7.6,1.2,1.1,0.6,6,17.4,3.4,0.422
Russell Westbrook,23.2,9.4,10.6,4.4,2.3,0.7,4.7,20.4,4.9,0.273
Ryan Arcidiacono,0,4.2,8.4,2.1,2.1,0,6.3,6.3,0,0
Ryan Rollins,25.1,8,7.4,4.6,5.7,1.7,2.3,15.4,9.7,0.75
Saben Lee,18.1,7.6,7.9,2,1.8,0.8,4.1,14,9.9,0.125
Saddiq Bey,19.7,2.1,9.4,1.2,1.2,0.3,8.2,15.9,4.6,0.316
Sam Hauser,20,2.3,7.7,0.9,1.1,0.7,13,15.7,0.5,0.424
Sam Merrill,22.2,4.9,5.5,0.9,0.9,0.2,16.2,18,1.3,0.404
Sandro Mamukelashvili,19.3,5,15,1.9,0.7,1.2,6.5,15.8,3.5,0.297
Santi Aldama,19.7,4.2,10.6,2.1,1.3,1.6,9.2,17.1,2.6,0.349
Sasha Vezenkov,20.7,1.7,8.8,1.1,1.8,0.6,11,17.6,1.4,0.375
Scoot Henderson,23.9,9.2,5.3,5.8,1.3,0.4,7.4,21.9,5.6,0.325
Scottie Barnes,27,8.2,11.2,3.7,1.7,2,6.7,21.3,5.7,0.341
Scotty Pippen Jr.,24.6,8.9,6.1,5.1,3.3,0.9,6.5,18.4,5,0.417
Seth Curry,17.4,3.4,5.2,1.6,1.7,0.5,8.3,15.7,2.4,0.352
Seth Lundy,12.6,0,6.3,0.9,0,0,11.7,15.3,3.6,0.231
Shaedon Sharpe,23.3,4.3,7.3,3.3,1.3,0.5,8.2,19.8,5.4,0.333
Shai Gilgeous-Alexander,41.4,8.5,7.6,3,2.8,1.2,4.9,27.3,11.9,0.353
Shake Milton,17.1,4.8,5.9,2.5,1.5,0.5,5.1,15.4,3.9,0.281
Shaquille Harrison,15.4,0,15.4,0,0,7.7,0,15.4,0,0
Sidy Cissoko,14.6,3.2,7.1,1,2.3,1,3.9,10.7,4.9,0.083
Simone Fontecchio,19.7,2.9,7,1.9,1.2,0.7,9.5,15.6,1.9,0.401
Skylar Mays,17.3,9.5,4.8,2.2,2.3,0.4,6,17.8,1.9,0.296
Spencer Dinwiddie,17.7,7.9,4.6,2,1.1,0.5,8.2,14.2,4.7,0.337
Stanley Umude,19.3,1.7,7.7,2.1,1.2,1.1,8,12.7,4.9,0.453
Stephen Curry,37.9,7.3,6.4,4.1,1,0.5,17,28,6.3,0.408
Svi Mykhailiuk,19.1,4.1,6,1.4,1.3,0.1,12.7,16.2,1.1,0.389
T.J. McConnell,26.1,14,6.9,3.9,2.6,0.3,1.6,21.3,2.2,0.409
T.J. Warren,15,3.3,8,1.5,1.5,0.4,4.7,15,1.5,0.154
Taj Gibson,7.9,2.6,8.6,1.2,0.7,1.6,2.3,8.6,0.5,0.2
Talen Horton-Tucker,24.4,8.4,5.7,3.1,2.1,0.9,8.6,22,5.1,0.33
Tari Eason,21.3,2.7,15.1,2,3.1,1.9,4.9,18.7,3.3,0.36
Taurean Prince,15.5,2.6,5.1,1.6,1.3,0.8,7.9,12.7,1.5,0.396
Taylor Hendricks,16.2,1.8,10.3,1.5,1.6,1.7,7.8,13.3,1.6,0.379
Taze Moore,19.6,5.4,8.7,3.3,2.2,0,7.6,20.7,2.2,0.143
Terance Mann,17.3,3.1,6.7,1.3,1.1,0.4,5.4,13,2.5,0.348
Terquavion Smith,26,6,2,3.5,4,0,17.5,23,2.5,0.371
Terry Rozier,28.8,8.2,5.9,2.5,1.5,0.5,9.8,23.8,4.7,0.363
Terry Taylor,11.7,2.5,9.4,1.8,1.3,0.5,2.3,9.9,1.3,0.222
Thaddeus Young,15.2,6.3,11.4,1.7,2.5,0.6,0.8,12,1.7,0.143
Thanasis Antetokounmpo,9.7,5.2,3.9,4.2,2.1,1.2,0.3,9.1,0.6,0
Theo Maledon,12.7,6,5.2,3.9,1.5,0,6.5,15.1,3.2,0.167
Thomas Bryant,24,2.5,15.6,2.3,1.1,1.8,2.4,16.5,5.2,0.182
Tim Hardaway Jr.,25.2,3.1,5.6,1.5,0.9,0.1,13.2,21.6,3.7,0.353
Timmy Allen,5.1,2,6.6,0.8,1.6,0,2.7,9,0.8,0
Tobias Harris,24.7,4.4,9.3,1.9,1.4,0.9,5.3,19.5,4.4,0.353
Torrey Craig,14.2,2.7,10.2,1.5,1.4,1,7.2,11.8,1.7,0.392
Tosan Evbuomwan,13.4,2.1,8,1.2,0.8,0.7,4.3,9.4,3.3,0.375
Toumani Camara,14.7,2.4,9.6,2.3,1.8,0.9,4.8,12.2,2.8,0.337
Trae Young,32.8,13.7,3.5,5.5,1.7,0.3,11.1,23.8,9.6,0.373
Trayce Jackson-Davis,22.7,3.4,14.3,2.1,1.2,3.2,0,14,5.6,0
Tre Jones,16.8,10.4,6.3,2.5,1.7,0.2,4.2,13.1,2.6,0.335
Tre Mann,19,8.2,7.4,3.2,2.5,0.1,6.3,15.7,2.9,0.373
Trendon Watford,24.5,4.6,11,3.6,1.3,1.1,3.9,17.7,5.5,0.397
Trent Forrest,9.8,10.8,6,2.4,1.3,0.4,1.2,10.6,2,0.2
Trevelin Queen,12,5.4,6,2.1,2.1,1.5,5.1,11.4,3.6,0.176
Trey Jemison,14.7,2.3,11.5,2.9,1,2.4,0,11.7,2.2,0
Trey Lyles,17.3,3,10.6,1.6,0.7,0.8,9,13.2,2.9,0.384
Trey Murphy III,24,3.5,8,1,1.5,0.8,12.7,17.7,4.3,0.38
Tristan Thompson,14.4,4.6,15.6,2.6,1.1,1.3,0.1,10.7,4.7,0
Tristan Vukcevic,25.3,3.9,10.7,3,1.5,2.1,10.7,19.9,6.5,0.278
Troy Brown Jr.,14.2,3.4,8.3,1.7,1.4,0.2,8.1,13,2.1,0.333
Ty Jerome,13.3,10,3.3,3.3,0,0,3.3,13.3,0,0
TyTy Washington Jr.,11.2,4,4,1.6,2.4,0,4.8,16,0,0.333
Tyler Herro,30.3,6.5,7.7,3.2,1,0.1,11.5,25.5,3.8,0.396
Tyrese Haliburton,29,15.7,5.7,3.3,1.7,1,11.2,21.9,4.7,0.364
Tyrese Maxey,33.6,8,4.8,2.1,1.3,0.6,10.5,26.3,7,0.373
Tyus Jones,18.8,11.5,4.3,1.6,1.7,0.4,6.1,15.8,1,0.414
Udoka Azubuike,14.6,1.3,13.3,1.7,0.4,2.5,0,9.6,5.4,0
Usman Garuba,7,2.3,16.3,4.7,2.3,7,2.3,14,4.7,0
Vasilije Micic,17.6,10.9,3.7,4.1,1.3,0.3,6.4,15.4,3.1,0.279
Victor Wembanyama,33.5,6,16.6,5.7,1.9,5.6,8.7,26.1,8.1,0.325
Vince Williams Jr.,17.6,5.9,9.8,3.1,1.6,1.1,7.1,12.8,4.4,0.378
Vit Krejci,12.2,4.5,4.7,1.8,1.2,0.5,6.2,9.4,0.5,0.412
Walker Kessler,16.5,1.9,15.4,2.1,1,4.9,0.6,11.2,3,0.211
Wendell Carter Jr.,21.1,3.3,13.3,2.4,1.2,1,6,14.8,4.7,0.374
Wendell Moore Jr.,10,3.3,6.7,2.2,2.8,0.6,3.3,10,0,0
Wenyen Gabriel,10.4,1.8,15.2,4.9,1.2,1.2,3.7,13.4,3,0.167
Wesley Matthews,12.7,2.7,6.1,0.9,1.9,1.3,8,11.2,2.8,0.348
Xavier Moon,12.8,8.2,7,1.9,1.2,1.2,6.6,17.9,0.8,0.118
Xavier Tillman,14.1,3.8,10.5,1.7,2.5,2.2,4,13.8,2.5,0.247
Yuta Watanabe,12.1,1.5,5.6,2,1.2,0.7,8.8,12,1.8,0.294
Zach Collins,23.9,6,11.4,4.1,1,1.6,5.6,19,5,0.32
Zach LaVine,27.4,5.5,7.2,2.9,1.2,0.4,9.5,21.1,5.8,0.349
Zavier Simpson,12.5,7.4,5.9,3,2.1,0.9,5,16,1.2,0.294
Zeke Nnaji,15.8,2.7,10.6,2.3,1.3,3.2,1.9,12.6,5.3,0.261
Ziaire Williams,19.5,3.5,8.3,3.1,1.7,0.4,8.8,17.5,3.5,0.307
Zion Williamson,34.3,7.5,8.7,4.1,1.6,1,0.4,23.5,10.6,0.333
