PLAYER_NAME,PTS,AST,REB,TOV,STL,BLK,FG3A,FGA,FTA,FG3_PCT
Javonte Green,23.3,1.1,14.2,1.5,2.1,1.7,5.7,15.9,2.7,0.37
Javonte Smart,0,0,0,0,0,0,0,0,0,0
Jaxson Hayes,16.1,1.8,11.2,2.3,1.8,1.5,0.4,9.3,4.4,0
Jay Huff,20.2,1.8,9.6,0.9,1.8,2.6,7.9,13.2,1.8,0.333
Jaylen Brown,33,5.1,7.9,3.4,1.7,0.8,8.4,25.8,6.2,0.354
Jaylen Nowell,18.1,4.3,5.4,1.6,0.9,0.4,6.5,17.4,2,0.207
Jaylin Williams,14.6,5.8,12.4,1.8,1.5,1.4,7.6,12.1,2.2,0.368
Jayson Tatum,36.6,6.7,11.1,3.5,1.4,0.8,11.2,26.2,9.1,0.376
Jeff Dowtin Jr.,17.8,9.2,6.8,1.7,2.4,0.3,6.5,12.3,1.4,0.474
Jeff Green,18.5,2.5,6.5,1.7,0.6,1.1,5.8,13.3,5.4,0.331
Jerami Grant,30.2,4.1,5.1,3.1,1.2,0.9,7.4,22.7,8.3,0.402
Jeremiah Robinson-Earl,16.2,3,10.7,2.3,1.4,0.6,5.5,13.4,2.3,0.333
Jeremy Sochan,18.5,5.4,10.2,3,1.3,0.9,4.9,16.7,3.1,0.308
Jericho Sims,8.1,2.2,12.9,1.4,0.7,1.7,0,4.8,2.1,0
Jermaine Samuels Jr.,14.7,2.2,9.6,0,0.7,1.5,1.5,10.3,1.5,0
Jerome Robinson,17.3,2.8,3.4,1.1,0.6,1.7,9.5,18.4,6.1,0.118
Jett Howard,19.7,4.1,4.8,2,1.4,1.4,17,20.4,2.7,0.28
Jevon Carter,17.2,4.5,2.9,1.7,1.8,0.8,11.3,17.6,0.3,0.329
Jimmy Butler,30.2,7.2,7.7,2.5,1.9,0.4,3.5,19.2,11.1,0.414
Jock Landale,16.8,4,10.6,1.9,1.2,2,2.5,12.7,4,0.25
Joe Harris,10.5,2.7,3.5,1.1,0.8,0.5,8.1,10.5,0.5,0.333
Joe Ingles,12.3,8.4,5.9,2.8,1.8,0.2,6.7,9.4,1.4,0.435
Joel Embiid,49.2,8,15.6,5.5,1.7,2.4,5.1,30.9,16.4,0.388
John Collins,25.6,1.9,14.3,2.4,1,1.5,5.8,18.6,4.6,0.371
John Konchar,9.8,4.6,10.7,1.9,2.1,2.1,5,8.6,1,0.317
Johnny Davis,11.3,2.4,5.4,1,1.3,0.7,3,11.5,1.8,0.35
Johnny Juzang,19.2,3.1,4.8,1.7,0.5,0.3,10.3,14.7,1.9,0.416
Jonas Valanciunas,25.3,4.4,18.2,2.8,0.8,1.7,3,18.2,5.2,0.308
Jonathan Isaac,21,1.6,13.9,1.4,2.3,3.7,6,15.3,4.4,0.375
Jonathan Kuminga,28.7,3.9,8.6,2.9,1.3,0.9,4,20.8,7.2,0.321
